node1	node2	provenance
CDKN2D	CDK6	pathways
XRCC4	LIG4	pathways
XRCC4	XRCC6	pathways
XRCC4	XRCC5	pathways
XRCC4	NHEJ1	pathways
XRCC4	PRKDC	pathways
DDB1	CAND1	pathways
DDB1	DDB2	pathways
DDB1	ERCC8	pathways
DDB1	RBX1	pathways
DDB1	CUL4A	pathways
DDB1	CUL4B	pathways
DDB1	NEDD8	pathways
DDB1	RPA2	pathways
DDB1	POLD1	pathways
DDB1	RPA3	pathways
DDB1	POLD4	pathways
DDB1	POLD2	pathways
DDB1	PCNA	pathways
DDB1	POLD3	pathways
DDB1	PARP1	pathways
DDB1	XPA	pathways
DDB1	COPS5	pathways
SMAD2	FOXO1	pathways
SMAD2	PARP1	pathways
SMAD2	RBL1	pathways
SMAD2	E2F5	pathways
SMAD2	TFDP2	pathways
SMAD2	SP1	pathways
SMAD2	SMAD3	pathways
SMAD2	HDAC1	pathways
SMAD2	SMAD4	pathways
WRN	BRIP1	pathways
WRN	ATM	pathways
WRN	MRE11	pathways
WRN	KAT5	pathways
WRN	RAD50	pathways
WRN	RBBP8	pathways
WRN	NBN	pathways
WRN	BARD1	pathways
WRN	ATR	pathways
WRN	ATRIP	pathways
WRN	RPA2	pathways
WRN	RPA3	pathways
FANCD2	FANCI	pathways
FANCD2	ATRIP	pathways
FANCD2	ATR	pathways
FANCD2	RPA2	pathways
FANCD2	RPA3	pathways
FANCD2	USP1	pathways
FANCD2	WDR48	pathways
USP45	ERCC1	pathways
SP1	EP300	pathways
SP1	SMAD4	pathways
SP1	SMAD3	pathways
SP1	TFDP2	pathways
SP1	E2F2	pathways
SP1	E2F1	pathways
UFD1	NPLOC4	pathways
UFD1	RPA3	pathways
UFD1	RPA2	pathways
UFD1	PCNA	pathways
UFD1	SKP2	pathways
UFD1	RBX1	pathways
HUS1	RAD9B	pathways
HUS1	RAD9A	pathways
HUS1	RAD1	pathways
HUS1	RPA3	pathways
HUS1	RPA2	pathways
RAD1	RAD9A	pathways
RAD1	RAD9B	pathways
RAD1	RPA3	pathways
RAD1	RPA2	pathways
CREBBP	CCND1	pathways
CREBBP	FOXO1	pathways
CREBBP	EP300	pathways
CREBBP	ESR1	pathways
CREBBP	TP53	pathways
USP12	WDR48	pathways
USP12	AR	pathways
FANCI	ATR	pathways
FANCI	RPA3	pathways
FANCI	RPA2	pathways
FANCI	ATRIP	pathways
FANCI	WDR48	pathways
FANCI	USP1	pathways
MNAT1	CDK7	pathways
MNAT1	CCNH	pathways
MNAT1	CDK2	pathways
MNAT1	CCNB1	pathways
MNAT1	CCND2	pathways
MNAT1	CDKN1B	pathways
MNAT1	CCND1	pathways
MNAT1	CDK4	pathways
MNAT1	CCND3	pathways
MNAT1	CDK6	pathways
E2F1	CDK2	pathways
E2F1	TFDP2	pathways
MCM2	CDK2	pathways
MCM2	RPA3	pathways
MCM2	RPA4	pathways
MCM2	RPA2	pathways
MCM2	CDT1	pathways
MCM2	MCM6	pathways
MCM2	MCM7	pathways
MCM2	MCM4	pathways
MCM2	ORC6	pathways
MCM2	CDC6	pathways
MCM2	ORC1	pathways
MCM2	ORC2	pathways
MCM2	ORC5	pathways
MCM2	ORC4	pathways
MCM2	ORC3	pathways
MCM2	ATR	pathways
BRCA2	BARD1	pathways
BRCA2	RAD51AP1	pathways
BRCA2	RBBP8	pathways
BRCA2	RAD51	pathways
CDT1	CDC6	pathways
CDT1	GMNN	pathways
CDT1	MCM6	pathways
CDT1	MCM7	pathways
CDT1	MCM4	pathways
CDT1	ORC2	pathways
CDT1	ORC3	pathways
CDT1	ORC4	pathways
CDT1	ORC1	pathways
CDT1	ORC5	pathways
CDT1	ORC6	pathways
CDT1	CDK2	pathways
ORC1	ORC2	pathways
ORC1	ORC4	pathways
ORC1	ORC3	pathways
ORC1	ORC5	pathways
ORC1	CDC6	pathways
ORC1	MCM4	pathways
ORC1	MCM6	pathways
ORC1	MCM7	pathways
ORC1	ORC6	pathways
EXO1	ATM	pathways
EXO1	RBBP8	pathways
EXO1	BARD1	pathways
EXO1	RAD50	pathways
EXO1	KAT5	pathways
EXO1	BRIP1	pathways
EXO1	MRE11	pathways
EXO1	NBN	pathways
EXO1	ATR	pathways
EXO1	ATRIP	pathways
EXO1	RPA2	pathways
EXO1	RPA3	pathways
EXO1	PCNA	pathways
EXO1	PMS2	pathways
EXO1	MSH2	pathways
EXO1	MSH3	pathways
